analysis_type,sample_id,treatment_id,plot_id,side,depth_interval_cm,avg_depth_cm,user_sample_id,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,soil_volume(cm^3),Total.Root.Length.mm,RLDcm/cm3,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Root.Length.Diameter.Range.10.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Projected.Area.Diameter.Range.10.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.10.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3,Volume.Diameter.Range.10.mm3,Volume.Diameter.Range.7.mm32,Volume.Diameter.Range.8.mm33,Volume.Diameter.Range.9.mm34,Volume.Diameter.Range.10.mm35,Volume.Diameter.Range.11.mm3
clean roots rhizovision output,01_6E_0_20,1,6,E,0_20,10,6-1_0-20_022.tif,Full,16387,17071,416.1305268,24671.29401,5.928739283,0.691938,6689.356612,0.342839,0.281912,2.082875,44038.90356,3231.501565,26613.61374,20.786,24199.18205,471.465846,0.646114,0,0,0,0,0,0,0,7888.161738,577.368134,1.311461,0,0,0,0,0,0,0,24794.67388,1814.819778,4.120077,0,0,0,0,0,0,0,2657.376222,572.03441,2.090933,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_6E_40_60,1,6,E,40_60,50,6-1_40-60_024.tif,Full,2004,603,477.0031268,2444.831159,0.5125398602,0.246643,644.718864,0.276829,0.273495,1.070218,5161.462298,176.630611,2145.983399,12.23,2443.738186,1.092973,0,0,0,0,0,0,0,0,681.682725,1.123838,0,0,0,0,0,0,0,0,2142.452757,3.530642,0,0,0,0,0,0,0,0,175.722871,0.90774,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_6E_60_80,1,6,E,60_80,70,6-1_60-80_Big.tif,Full,4875,293,484.0482819,1023.084939,0.2113601013,0.286389,273.891127,0.222533,0.205121,1.518143,3099.980073,57.19507,748.880874,2.029,1019.35916,3.725779,0,0,0,0,0,0,0,0,233.747159,4.551075,0,0,0,0,0,0,0,0,734.583252,14.297623,0,0,0,0,0,0,0,0,52.746869,4.448201,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_6E_80_100,1,6,E,80_100,90,6-1_80-100_small_025.tif,Full,1673,83,534.9075734,316.935712,0.05925055613,0.261883,77.872095,0.216838,0.205121,1.180314,892.859754,17.552849,226.749097,1.088,316.130394,0.805318,0,0,0,0,0,0,0,0,71.25448,0.902165,0,0,0,0,0,0,0,0,223.914862,2.834235,0,0,0,0,0,0,0,0,16.75708,0.795768,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_0_20,2,7,E,0_20,10,7-2_0-20_032.tif,Full,7795,25176,555.9978715,32338.6354,5.816323598,0.778512,8845.045869,0.380929,0.305777,4.254582,50594.31591,5226.499053,38329.63107,9.462,31426.70253,852.603455,45.538715,12.595171,1.195534,0,0,0,0,0,10967.57227,1074.090971,107.501148,41.746318,4.951629,0,0,0,0,0,34469.71228,3375.269959,337.942906,131.149927,15.556,0,0,0,0,0,3799.733898,1099.320923,202.066491,109.264545,16.113195,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_20_40,2,7,E,20_40,30,7-2_20-40_034.tif,Full,4129,1997,535.3457245,5560.852947,1.038740517,0.359118,1569.104777,0.312564,0.290085,1.688707,11193.54188,524.969082,5495.193158,6.153,5535.956299,24.896649,0,0,0,0,0,0,0,0,1719.146261,29.10834,0,0,0,0,0,0,0,0,5403.621989,91.571169,0,0,0,0,0,0,0,0,497.807122,27.16196,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_40_60,2,7,E,40_60,50,7-2_40-60_035.tif,Full,2434,1497,514.6964954,4711.824548,0.9154568935,0.317711,1361.207823,0.324581,0.290085,1.88121,9299.245683,479.504616,4825.392181,6.02,4677.626398,34.19815,0,0,0,0,0,0,0,0,1494.777074,40.678396,0,0,0,0,0,0,0,0,4697.386948,128.005233,0,0,0,0,0,0,0,0,440.507517,38.997099,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_60_80,2,7,E,60_80,70,7-2_60-80_big.tif,Full,5576,3198,584.0405196,5612.125106,0.9609136554,0.569838,1651.185511,0.324822,0.305777,1.609327,11496.79535,578.998629,5785.222676,2.53,5596.764824,15.360282,0,0,0,0,0,0,0,0,1822.485319,17.90885,0,0,0,0,0,0,0,0,5728.663739,56.558937,0,0,0,0,0,0,0,0,562.115755,16.882874,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_80_100,2,7,E,80_100,90,7-2_80-100_small_036.tif,Full,1074,654,524.246001,1363.356608,0.2600604688,0.479698,417.503777,0.332486,0.341869,1.260749,2812.714298,140.572502,1438.484624,0.925,1360.740392,2.616215,0,0,0,0,0,0,0,0,454.821429,2.831891,0,0,0,0,0,0,0,0,1429.587976,8.896649,0,0,0,0,0,0,0,0,138.153769,2.418733,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_100_120,2,7,E,100_120,110,7-2_100-120_037.tif,Full,5207,2522,540.1008142,7099.556287,1.31448724,0.355233,2033.804685,0.312167,0.290085,1.841019,14494.12236,676.671364,7014.26074,11.748,7054.625646,44.93064,0,0,0,0,0,0,0,0,2179.686297,52.270313,0,0,0,0,0,0,0,0,6850.048709,164.212031,0,0,0,0,0,0,0,0,627.895333,48.776032,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_120_140,2,7,E,120_140,130,7-2_120-140_big.tif,Full,2245,887,413.8069837,2292.596964,0.5540256821,0.386897,682.414292,0.315286,0.305777,1.468046,4909.326995,216.416393,2293.580502,5.452,2284.232668,8.364295,0,0,0,0,0,0,0,0,720.154542,9.571849,0,0,0,0,0,0,0,0,2263.509651,30.070851,0,0,0,0,0,0,0,0,207.738529,8.677864,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_140_160,2,7,E,140_160,150,7-2_140-160_small_038.tif,Full,719,266,521.383636,723.040213,0.1386771972,0.367891,195.872939,0.282347,0.281912,0.957232,1554.370267,52.85838,648.457088,2.323,723.040213,0,0,0,0,0,0,0,0,0,206.318231,0,0,0,0,0,0,0,0,0,648.457088,0,0,0,0,0,0,0,0,0,52.85838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_160_180,2,7,E,160_180,170,7-2_160-180_039.tif,Full,355,47,539.379954,149.913687,0.02779370755,0.313514,35.13004,0.191609,0.136747,0.764442,399.84316,6.067897,93.936281,16.382,149.913687,0,0,0,0,0,0,0,0,0,29.900847,0,0,0,0,0,0,0,0,0,93.936281,0,0,0,0,0,0,0,0,0,6.067897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_7E_180_200,2,7,E,180_200,190,7-2_180-200_big.tif,Full,362,265,549.0974685,261.508167,0.04762509062,1.013353,60.482386,0.248054,0.216217,0.77958,591.815314,18.21248,210.09319,2.968,261.508167,0,0,0,0,0,0,0,0,0,66.760344,0,0,0,0,0,0,0,0,0,210.09319,0,0,0,0,0,0,0,0,0,18.21248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_12E_0_20,2,12,E,0_20,10,12-2_0-20_006.tif,Full,23725,50457,279.9146634,54910.05008,19.61671083,0.918903,14032.39517,0.345833,0.281912,2.84553,90098.42229,7499.075128,59667.8753,23.793,53632.35566,1241.299005,36.395411,0,0,0,0,0,0,0,17327.28097,1566.501234,80.937588,0,0,0,0,0,0,0,54489.19068,4923.939159,254.745459,0,0,0,0,0,0,0,5749.347138,1606.694879,143.033111,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_12E_20_40,2,12,E,20_40,30,12-2_20-40_007.tif,Full,5646,4608,372.7672256,9288.49344,2.491767731,0.496098,2619.552345,0.333753,0.305777,3.192402,17549.45483,1048.585837,9747.573663,12.169,9209.956968,71.599141,6.265325,0.672006,0,0,0,0,0,0,2995.965225,87.845983,15.347953,2.079338,0,0,0,0,0,0,9416.633823,276.190391,48.217015,6.532434,0,0,0,0,0,0,926.299626,87.307426,29.924306,5.054479,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_12E_40_60,2,12,E,40_60,50,12-2_40-60_008.tif,Full,2700,1550,428.2286291,5348.77476,1.249046513,0.289786,1480.046654,0.302048,0.290085,1.121413,10741.36637,437.966754,5096.090192,9.214,5347.399997,1.374763,0,0,0,0,0,0,0,0,1620.023784,1.446756,0,0,0,0,0,0,0,0,5091.545073,4.545119,0,0,0,0,0,0,0,0,436.76936,1.197394,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_12E_60_80,2,12,E,60_80,70,12-2_60-80_009.tif,Full,2049,793,474.4515723,2700.416644,0.5691659173,0.293658,826.945574,0.322243,0.305777,1.427685,5745.105683,270.207339,2756.405506,9.273,2682.585189,17.831455,0,0,0,0,0,0,0,0,856.419877,20.586057,0,0,0,0,0,0,0,0,2691.732502,64.673004,0,0,0,0,0,0,0,0,251.368433,18.838906,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_12E_80_100,2,12,E,80_100,90,12-2_80-100_010.tif,Full,2449,690,528.6522142,2093.766749,0.3960575011,0.32955,665.606617,0.312624,0.305777,1.407901,4886.849336,192.429136,2083.156468,10.914,2091.028953,2.737796,0,0,0,0,0,0,0,0,659.645132,3.167425,0,0,0,0,0,0,0,0,2073.205709,9.950758,0,0,0,0,0,0,0,0,189.51464,2.914496,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_0_20,2,21,E,0_20,10,21-2_0-20_026.tif,Full,25090,44679,580.0201988,57427.76316,9.900993669,0.778003,14543.93474,0.338397,0.281912,2.78995,95437.65817,7041.899584,60661.22343,22.257,56494.20912,915.076471,18.477569,0,0,0,0,0,0,0,18130.56382,1129.226925,40.553584,0,0,0,0,0,0,0,56984.764,3549.056583,127.40284,0,0,0,0,0,0,0,5842.209191,1129.378898,70.311495,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_20_40,2,21,E,20_40,30,21-2_20-40_027.tif,Full,3974,1153,348.6410483,2138.921733,0.6135025533,0.539057,473.597539,0.23505,0.205121,1.081084,4755.508991,127.769093,1611.365255,9.073,2138.21554,0.706193,0,0,0,0,0,0,0,0,511.995421,0.731474,0,0,0,0,0,0,0,0,1609.067261,2.297994,0,0,0,0,0,0,0,0,127.173774,0.595319,0,0,0,0,0,0,0,0,0,0,0,0,0
